timestamp,city,pickup_lat,pickup_lon,dropoff_lat,dropoff_lon,demand_volume,weather_condition,day_type
2024-01-01 00:00:06,Jakarta,-6.250279,106.791961,-6.243021,106.838714,91,Clear,Weekday
2024-01-01 00:17:51,Surabaya,-7.36933,112.803902,-7.344564,112.83473,119,Rainy,Weekday
2024-01-01 00:30:16,Yogyakarta,-7.799379,110.368294,-7.808884,110.384618,37,Rainy,Weekday
2024-01-01 00:39:14,Surabaya,-7.271455,112.753706,-7.270056,112.732379,117,Rainy,Weekday
2024-01-01 00:44:32,Yogyakarta,-7.750639,110.488888,-7.72694,110.480777,14,Cloudy,Weekday
2024-01-01 00:48:52,Yogyakarta,-7.735953,110.397749,-7.724527,110.366937,60,Clear,Weekday
2024-01-01 00:51:25,Yogyakarta,-8.003855,110.351697,-7.99327,110.35629,21,Cloudy,Weekday
2024-01-01 01:03:03,Yogyakarta,-7.788383,110.349509,-7.793994,110.349412,62,Cloudy,Weekday
2024-01-01 01:07:58,Jakarta,-6.100312,106.640275,-6.100516,106.677734,162,Clear,Weekday
2024-01-01 01:11:57,Surabaya,-7.385573,112.777599,-7.403042,112.803126,35,Drizzle,Weekday
2024-01-01 01:14:26,Jakarta,-6.196711,106.818497,-6.175185,106.83483,66,Cloudy,Weekday
2024-01-01 01:21:47,Yogyakarta,-7.790411,110.383207,-7.791056,110.390295,28,Clear,Weekday
2024-01-01 01:25:32,Surabaya,-7.381461,112.778,-7.373288,112.755017,72,Clear,Weekday
2024-01-01 01:40:53,Surabaya,-7.309668,112.732186,-7.314338,112.712884,68,Clear,Weekday
2024-01-01 02:07:25,Yogyakarta,-7.746095,110.506625,-7.761303,110.509484,5,Clear,Weekday
2024-01-01 02:09:43,Jakarta,-6.176009,106.877509,-6.17641,106.846724,41,Clear,Weekday
2024-01-01 02:19:52,Jakarta,-6.233006,106.816551,-6.228971,106.809325,92,Rainy,Weekday
2024-01-01 02:41:34,Jakarta,-6.168891,106.776421,-6.195959,106.797537,52,Cloudy,Weekday
2024-01-01 02:43:27,Jakarta,-6.246964,106.83212,-6.226587,106.832083,15,Clear,Weekday
2024-01-01 02:50:14,Surabaya,-7.190455,112.726778,-7.190875,112.762282,25,Clear,Weekday
2024-01-01 03:03:23,Surabaya,-7.306314,112.76278,-7.294635,112.764034,88,Drizzle,Weekday
2024-01-01 03:07:58,Yogyakarta,-7.778979,110.372251,-7.781251,110.358474,74,Clear,Weekday
2024-01-01 03:11:28,Yogyakarta,-7.758847,110.358229,-7.779955,110.357396,5,Clear,Weekday
2024-01-01 03:13:06,Yogyakarta,-7.767832,110.392564,-7.781838,110.376426,26,Drizzle,Weekday
2024-01-01 03:21:08,Jakarta,-6.249193,106.794548,-6.256772,106.813462,137,Clear,Weekday
2024-01-01 03:22:40,Jakarta,-6.132239,106.647102,-6.131021,106.625312,69,Clear,Weekday
2024-01-01 03:28:41,Yogyakarta,-7.915534,110.068992,-7.899656,110.061419,12,Clear,Weekday
2024-01-01 03:32:48,Surabaya,-7.297829,112.806567,-7.325221,112.819511,31,Clear,Weekday
2024-01-01 03:37:37,Jakarta,-6.162553,106.805591,-6.185598,106.796176,98,Clear,Weekday
2024-01-01 03:37:43,Jakarta,-6.235417,106.830384,-6.254239,106.824497,86,Cloudy,Weekday
2024-01-01 03:56:34,Surabaya,-7.252995,112.780646,-7.256077,112.7904,83,Clear,Weekday
2024-01-01 04:02:04,Yogyakarta,-7.842856,110.37607,-7.863011,110.436129,25,Drizzle,Weekday
2024-01-01 04:17:39,Yogyakarta,-7.746191,110.495759,-7.738636,110.479695,31,Cloudy,Weekday
2024-01-01 04:17:43,Surabaya,-7.281513,112.758943,-7.260248,112.755806,93,Clear,Weekday
2024-01-01 04:54:58,Yogyakarta,-8.034073,110.333757,-8.030021,110.327017,38,Cloudy,Weekday
2024-01-01 05:02:32,Jakarta,-6.108444,106.666816,-6.106173,106.671627,58,Clear,Weekday
2024-01-01 05:05:42,Surabaya,-7.290123,112.766403,-7.308515,112.782863,93,Rainy,Weekday
2024-01-01 05:13:46,Yogyakarta,-8.038285,110.302593,-8.047775,110.315427,12,Clear,Weekday
2024-01-01 05:14:11,Yogyakarta,-7.782301,110.363184,-7.763527,110.371132,63,Rainy,Weekday
2024-01-01 05:20:31,Yogyakarta,-7.770388,110.365512,-7.795692,110.397349,66,Clear,Weekday
2024-01-01 05:44:08,Yogyakarta,-7.803237,110.351381,-7.801578,110.370564,43,Clear,Weekday
2024-01-01 05:52:26,Yogyakarta,-7.756241,110.502968,-7.734825,110.473884,58,Cloudy,Weekday
2024-01-01 05:54:45,Jakarta,-6.118587,106.650495,-6.124813,106.682799,110,Cloudy,Weekday
2024-01-01 06:12:09,Yogyakarta,-7.76779,110.358526,-7.755098,110.363744,106,Clear,Weekday
2024-01-01 06:14:16,Surabaya,-7.370211,112.772493,-7.343382,112.775012,187,Clear,Weekday
2024-01-01 06:35:49,Jakarta,-6.211427,106.829686,-6.202958,106.862755,154,Clear,Weekday
2024-01-01 06:36:52,Yogyakarta,-7.779168,110.364934,-7.792627,110.37741,89,Clear,Weekday
2024-01-01 06:43:19,Jakarta,-6.183182,106.797035,-6.159734,106.782965,256,Drizzle,Weekday
2024-01-01 06:52:36,Jakarta,-6.198177,106.821063,-6.182965,106.832352,186,Cloudy,Weekday
2024-01-01 06:52:45,Jakarta,-6.205324,106.828391,-6.224387,106.810772,137,Clear,Weekday
2024-01-01 07:05:19,Jakarta,-6.13571,106.657221,-6.144655,106.663254,289,Cloudy,Weekday
2024-01-01 07:11:54,Yogyakarta,-7.764238,110.407208,-7.761966,110.418156,166,Rainy,Weekday
2024-01-01 07:16:47,Yogyakarta,-7.772424,110.358686,-7.79726,110.3688,164,Clear,Weekday
2024-01-01 07:38:38,Surabaya,-7.381765,112.788359,-7.377878,112.808541,253,Cloudy,Weekday
2024-01-01 07:47:17,Surabaya,-7.195022,112.734498,-7.172198,112.757259,216,Drizzle,Weekday
2024-01-01 07:52:09,Yogyakarta,-7.773673,110.36489,-7.778766,110.336531,169,Clear,Weekday
2024-01-01 08:10:48,Yogyakarta,-7.814911,110.361004,-7.811465,110.318717,168,Cloudy,Weekday
2024-01-01 08:30:17,Jakarta,-6.232428,106.844498,-6.253489,106.822956,496,Drizzle,Weekday
2024-01-01 08:34:59,Surabaya,-7.194656,112.737618,-7.195618,112.704212,250,Cloudy,Weekday
2024-01-01 08:45:09,Jakarta,-6.158072,106.857623,-6.141474,106.827967,401,Cloudy,Weekday
2024-01-01 08:54:08,Surabaya,-7.288162,112.731033,-7.326046,112.669657,340,Rainy,Weekday
2024-01-01 09:01:45,Yogyakarta,-8.007091,110.31447,-7.993987,110.326513,130,Clear,Weekday
2024-01-01 09:02:06,Yogyakarta,-7.762501,110.390681,-7.772731,110.424315,142,Clear,Weekday
2024-01-01 09:21:24,Yogyakarta,-7.791391,110.358442,-7.743985,110.338825,107,Clear,Weekday
2024-01-01 09:24:13,Jakarta,-6.21285,106.82067,-6.212363,106.826575,361,Rainy,Weekday
2024-01-01 09:33:50,Jakarta,-6.20888,106.852274,-6.203484,106.868189,427,Cloudy,Weekday
2024-01-01 09:49:41,Jakarta,-6.16532,106.807059,-6.183408,106.77932,395,Clear,Weekday
2024-01-01 09:56:32,Surabaya,-7.281037,112.749033,-7.304174,112.745252,291,Clear,Weekday
2024-01-01 10:00:33,Surabaya,-7.271031,112.742933,-7.270016,112.75832,134,Clear,Weekday
2024-01-01 10:01:17,Surabaya,-7.216639,112.72227,-7.244093,112.722809,81,Cloudy,Weekday
2024-01-01 10:05:14,Jakarta,-6.118844,106.648634,-6.139123,106.611267,279,Clear,Weekday
2024-01-01 10:17:31,Jakarta,-6.131719,106.652073,-6.129726,106.644218,255,Cloudy,Weekday
2024-01-01 10:20:33,Jakarta,-6.279124,106.804364,-6.279083,106.804199,316,Rainy,Weekday
2024-01-01 10:21:18,Jakarta,-6.233172,106.850045,-6.250689,106.850068,164,Cloudy,Weekday
2024-01-01 10:36:30,Jakarta,-6.20417,106.795083,-6.214307,106.780077,336,Rainy,Weekday
2024-01-01 10:40:51,Jakarta,-6.262576,106.820296,-6.269841,106.795453,435,Rainy,Weekday
2024-01-01 10:41:58,Surabaya,-7.207336,112.725551,-7.202217,112.702427,204,Cloudy,Weekday
2024-01-01 10:54:02,Surabaya,-7.210044,112.739573,-7.194111,112.746283,126,Clear,Weekday
2024-01-01 10:54:24,Jakarta,-6.248437,106.799051,-6.276049,106.781058,191,Cloudy,Weekday
2024-01-01 11:11:36,Yogyakarta,-7.778041,110.380951,-7.757333,110.365725,92,Clear,Weekday
2024-01-01 11:13:29,Surabaya,-7.246217,112.739523,-7.24776,112.758969,139,Clear,Weekday
2024-01-01 11:15:33,Surabaya,-7.378842,112.782361,-7.356541,112.821387,239,Clear,Weekday
2024-01-01 11:25:12,Surabaya,-7.252301,112.778601,-7.273988,112.761771,209,Rainy,Weekday
2024-01-01 11:34:16,Surabaya,-7.276408,112.783978,-7.261557,112.810843,137,Clear,Weekday
2024-01-01 11:35:26,Jakarta,-6.115362,106.782238,-6.096372,106.756468,171,Cloudy,Weekday
2024-01-01 11:40:28,Jakarta,-6.190386,106.809868,-6.238397,106.80217,234,Clear,Weekday
2024-01-01 11:43:21,Surabaya,-7.376296,112.786343,-7.375502,112.751803,154,Clear,Weekday
2024-01-01 11:51:31,Jakarta,-6.105846,106.662147,-6.127681,106.657809,256,Cloudy,Weekday
2024-01-01 11:57:11,Jakarta,-6.150835,106.914038,-6.161541,106.922232,225,Cloudy,Weekday
2024-01-01 11:57:13,Jakarta,-6.260436,106.824385,-6.241051,106.822254,298,Cloudy,Weekday
2024-01-01 12:06:08,Yogyakarta,-8.012946,110.327577,-8.00305,110.311054,144,Cloudy,Weekday
2024-01-01 12:10:51,Yogyakarta,-7.78566,110.372798,-7.792946,110.357425,119,Drizzle,Weekday
2024-01-01 12:31:52,Surabaya,-7.188017,112.708802,-7.205346,112.705633,160,Cloudy,Weekday
